,Country,Copies Sold
29,United States of America,3830.34
14,Japan,2683.09
10,France,444.19
28,United Kingdom,355.68
5,Canada,119.84
25,Sweden,28.11
0,Australia,28.09
17,Poland,25.32
15,Netherlands,14.209999999999999
18,Romania,13.91
8,Denmark,12.76
11,Germany,11.76
20,Singapore,6.19
7,Czechia,5.62
9,Finland,4.83
13,Italy,3.95
24,Spain,3.66
19,Russian Federation,3.0
27,Ukraine,2.74
4,Bulgaria,1.6
23,South Korea,0.84
21,Slovakia,0.66
12,Hungary,0.59
3,Belgium,0.49
22,Slovenia,0.45999999999999996
16,Norway,0.4
6,Croatia,0.33
2,Belarus,0.31
1,Austria,0.21
26,Taiwan,0.11
